Tags,AP LED Flash Status,Device Name,IP Address,Device Family,Reachability,EoX Status,Manageability,Compliance,Health Score,Site,MAC Address,Device Role,Image Version,Uptime,Last Updated,Resync Interval,Serial Number,Device Series,Platform,Support Type,Software Image,OS Update Status,Image Needs Update,Image Precheck Status,Provisioning Status,Credential Status,Last Provisioned,Associated WLC IP,AP CDP Neighbors,AP Group Name,Flex Group Name,AP Ethernet Mac Address,AP Location,Application Telemetry,Advisories,Integrity Verification
Extended Edge-Node,Unsupported,441-g05-e-2.net.uwa.edu.au,10.88.191.233,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/441/First Floor,2c:ab:eb:55:04:80,ACCESS,15.2(7)E5,112 days 11 hrs ,13 hours ago,24:00:00,FOC2106Z0V6,Cisco Catalyst 3560-CX Series Switches,WS-C3560CX-8XPD-S,Supported,c3560cx-universalk9-mz.152-7.E5.bin,Activation Success,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Not Provisioned,4,UNSUPPORTED
Extended Edge-Node,Unsupported,441-g05-e-3.net.uwa.edu.au,10.88.191.250,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/441/First Floor,2c:ab:eb:54:fb:80,ACCESS,15.2(7)E5,112 days 11 hrs ,13 hours ago,24:00:00,FOC2106Z0V2,Cisco Catalyst 3560-CX Series Switches,WS-C3560CX-8XPD-S,Supported,c3560cx-universalk9-mz.152-7.E5.bin,Activation Success,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Not Provisioned,4,UNSUPPORTED
Extended Edge-Node,Unsupported,441-G05-e-4.net.uwa.edu.au,10.88.191.219,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/441/First Floor,2c:31:24:65:00:00,ACCESS,15.2(7)E5,112 days 11 hrs ,13 hours ago,24:00:00,FOC2106Z0V1,Cisco Catalyst 3560-CX Series Switches,WS-C3560CX-8XPD-S,Supported,c3560cx-universalk9-mz.152-7.E5.bin,Activation Success,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Not Provisioned,4,UNSUPPORTED
Extended Edge-Node,Unsupported,441-g05-e-5.net.uwa.edu.au,10.88.191.224,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/441/First Floor,2c:ab:eb:54:fc:00,ACCESS,15.2(7)E5,112 days 11 hrs ,13 hours ago,24:00:00,FOC2106Z0V3,Cisco Catalyst 3560-CX Series Switches,WS-C3560CX-8XPD-S,Supported,c3560cx-universalk9-mz.152-7.E5.bin,Activation Success,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Not Provisioned,4,UNSUPPORTED
Edge-Node,Unsupported,446-193-a-1.net.uwa.edu.au,10.88.40.44,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/446/First Floor,3c:8b:7f:fa:a7:00,ACCESS,17.9.3,11 days 22 hrs ,an hour ago,24:00:00,"FOC2629YK4H, FOC2629YSJC, FOC2629YQU8, FOC2629YQMY",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Not Applied,3 months ago,,,,,,,Enabled,,PASSED
Aggregation Switch,Unsupported,446-193-g-1.net.uwa.edu.au,10.88.40.42,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/446/First Floor,c0:f8:7f:70:9a:c0,DISTRIBUTION,17.9.3,11 days 23 hrs ,13 hours ago,24:00:00,FDO26161SVN,Cisco Catalyst 9500 Series Switches,C9500-24Y4C,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Not Applied,3 months ago,,,,,,,Not Provisioned,,PASSED
Edge-Node,Unsupported,446-293-a-1.net.uwa.edu.au,10.88.40.45,Switches and Hubs,Reachable,,Managed (Syncing...),COMPLIANT,10,Global/CRAWLEY/446/Second Floor,88:fc:5d:62:43:80,ACCESS,17.9.3,11 days 22 hrs ,7 minutes ago,24:00:00,"FOC2629YRLA, FOC2629YNFC, FOC2629YQNG, FOC2629YQMU, FOC2629YQJ0",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Not Applied,3 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,446-348-a-1.net.uwa.edu.au,10.88.40.46,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/446/Third Floor,88:fc:5d:5f:37:80,ACCESS,17.9.3,11 days 23 hrs ,35 minutes ago,24:00:00,"FOC2629YRV5, FOC2529LJQB",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-24P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Not Applied,3 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,446-g93-a-1.net.uwa.edu.au,10.88.40.47,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/446/Ground Floor,88:fc:5d:5f:22:80,ACCESS,17.9.3,11 days 22 hrs ,an hour ago,24:00:00,"FOC2629YNXG, FOC2629YS5R, FOC2629YR87",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Failed,Not Applied,3 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,499-101h-a-1.net.uwa.edu.au,10.88.72.3,Switches and Hubs,Reachable,1,Managed,COMPLIANT,8,Global/CRAWLEY/499/First Floor,ac:bc:d9:04:0c:80,ACCESS,17.9.3,12 days 2 hrs ,an hour ago,24:00:00,"FOC2604YGSE, FOC2542Y9JL, FOC2542YGR2, FOC2604YJWU, FOC2542YAFF, FOC2542YMYH",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,499-101h-a-2.net.uwa.edu.au,10.88.72.4,Switches and Hubs,Reachable,,Managed,NON_COMPLIANT,10,Global/CRAWLEY/499/First Floor,80:24:8f:84:08:80,ACCESS,17.9.3,12 days 2 hrs ,an hour ago,24:00:00,"FOC2542YPGT, FOC2542YFX5, FOC2542YFWG",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X",Supported,CAT9K[17.9.3],Distribution Pending,OUTDATED,Success,Success,Success,3 months ago,,,,,,,Enabled,,PASSED
Aggregation Switch,Unsupported,499-101h-g-1.net.uwa.edu.au,10.88.72.1,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/499/First Floor,04:bd:97:85:2c:e0,DISTRIBUTION,17.9.3,12 days 3 hrs ,13 hours ago,24:00:00,FDO2615191X,Cisco Catalyst 9500 Series Switches,C9500-24Y4C,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Not Provisioned,,PASSED
Edge-Node,Unsupported,501-118-a-1.net.uwa.edu.au,10.88.72.5,Switches and Hubs,Reachable,,Managed,NON_COMPLIANT,10,Global/CRAWLEY/501/First Floor,3c:26:e4:05:e3:80,ACCESS,17.9.3,11 days 20 hrs ,3 hours ago,24:00:00,"FOC2629YNFF, FOC2629YNFN, FOC2629YQT9",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X",Supported,CAT9K[17.9.3],Distribution Pending,OUTDATED,Success,Success,Not Applied,4 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,507-g15-a-1.net.uwa.edu.au,10.88.72.7,Switches and Hubs,Reachable,1,Managed,COMPLIANT,8,Global/CRAWLEY/507/Ground Floor,3c:8b:7f:fb:6e:80,ACCESS,17.9.3,9 days 3 hrs ,13 hours ago,24:00:00,"FOC2629YQKU, FOC2542YJ19",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Not Applied,3 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,606-131-a-1.net.uwa.edu.au,10.88.56.26,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/606/First Floor,3c:8b:7f:ce:12:00,ACCESS,17.9.3,12 days ,13 hours ago,24:00:00,FOC2629YNZL,Cisco Catalyst 9300 Series Switches,C9300L-48P-4X,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Not Applied,2 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,655-g04a-a-1.net.uwa.edu.au,10.88.56.28,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/655/Ground Floor,3c:26:e4:05:ed:00,ACCESS,17.9.3,12 days 1 min ,4 hours ago,24:00:00,FOC2629YNHD,Cisco Catalyst 9300 Series Switches,C9300L-48P-4X,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Not Applied,a month ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,658-155-a-3.net.uwa.edu.au,10.88.56.6,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/658/First Floor,ac:bc:d9:05:ca:00,ACCESS,17.9.3,15 days 15 hrs ,13 hours ago,24:00:00,FOC2604YGTR,Cisco Catalyst 9300 Series Switches,C9300L-48P-4X,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,2 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,658-214-a-1.net.uwa.edu.au,10.88.56.5,Switches and Hubs,Reachable,,Managed (Syncing...),COMPLIANT,8,Global/CRAWLEY/658/Second Floor,ac:bc:d9:0f:2a:80,ACCESS,17.9.3,15 days 14 hrs ,6 minutes ago,24:00:00,"FOC2604YK5P, FOC2604YK46, FOC2604YJWF, FOC2604YK5U, FOC2604YJWC",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,2 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,658-240-a-3.net.uwa.edu.au,10.88.56.4,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/658/Second Floor,ac:bc:d9:0f:05:00,ACCESS,17.9.3,15 days 15 hrs ,6 hours ago,24:00:00,FOC2604YJM0,Cisco Catalyst 9300 Series Switches,C9300L-48P-4X,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,2 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,658-1120c-a-1.net.uwa.edu.au,10.88.56.3,Switches and Hubs,Reachable,,Managed (Syncing...),COMPLIANT,10,Global/CRAWLEY/658/First Floor,cc:ed:4d:f6:6f:00,ACCESS,17.9.3,15 days 14 hrs ,4 minutes ago,24:00:00,"FOC2604YHDE, FOC2604YK4G, FOC2604YGVR",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,2 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,658-b105-a-1.net.uwa.edu.au,10.88.56.9,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/658/Basement 1,04:76:b0:db:8f:00,ACCESS,17.9.3,15 days 15 hrs ,13 hours ago,24:00:00,FOC2443L4M2,Cisco Catalyst 9300 Series Switches,C9300L-24P-4X,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,2 months ago,,,,,,,Enabled,,PASSED
Aggregation Switch,Unsupported,658-b105-g-2.net.uwa.edu.au,10.88.56.1,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/658/Basement 1,84:eb:ef:58:5b:00,DISTRIBUTION,17.9.3,15 days 15 hrs ,13 hours ago,24:00:00,FDO25340DAJ,Cisco Catalyst 9500 Series Switches,C9500-24Y4C,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Not Provisioned,,PASSED
Edge-Node,Unsupported,658-g47-a-3.net.uwa.edu.au,10.88.56.8,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/658/Ground Floor,40:06:d5:8e:cc:80,ACCESS,17.9.3,15 days 15 hrs ,13 hours ago,24:00:00,FOC2604YKCU,Cisco Catalyst 9300 Series Switches,C9300L-48P-4X,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,2 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,658-g121a-a-3.net.uwa.edu.au,10.88.56.7,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/658/Ground Floor,18:59:f5:2e:7f:80,ACCESS,17.9.3,15 days 15 hrs ,13 hours ago,24:00:00,FOC2604YK6U,Cisco Catalyst 9300 Series Switches,C9300L-48P-4X,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,2 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,661-111-a-1.net.uwa.edu.au,10.88.56.23,Switches and Hubs,Reachable,,Managed,COMPLIANT,8,Global/CRAWLEY/661/First Floor,3c:26:e4:06:0b:00,ACCESS,17.9.3,12 days 30 mins ,an hour ago,24:00:00,"FOC2629YQK6, FOC2618YLVR",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-24P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Not Applied,3 months ago,,,,,,,Enabled,,PASSED
Aggregation Switch,Unsupported,661-111-g-1.net.uwa.edu.au,10.88.56.20,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/661/First Floor,c0:f8:7f:70:a3:80,DISTRIBUTION,17.9.3,12 days 34 mins ,13 hours ago,24:00:00,FDO26160P6X,Cisco Catalyst 9500 Series Switches,C9500-24Y4C,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Not Applied,3 months ago,,,,,,,Not Provisioned,,PASSED
Edge-Node,Unsupported,661-g09-a-1.net.uwa.edu.au,10.88.56.22,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/661/Ground Floor,3c:8b:7f:fa:ad:00,ACCESS,17.9.3,12 days 31 mins ,32 minutes ago,24:00:00,"FOC2629YK6Y, FOC2629YS04",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Not Applied,3 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,671-g09-a-1.net.uwa.edu.au,10.88.56.18,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/671/Ground Floor,ac:bc:d9:03:19:00,ACCESS,17.9.3,12 days 2 hrs ,13 hours ago,24:00:00,FOC2604YHZJ,Cisco Catalyst 9300 Series Switches,C9300L-24P-4X,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Not Applied,4 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,673-101a-a-1.net.uwa.edu.au,10.88.56.12,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/673/First Floor,28:af:fd:58:bd:80,ACCESS,17.9.3,12 days 3 hrs ,13 hours ago,24:00:00,FOC2524L7T4,Cisco Catalyst 9300 Series Switches,C9300L-48P-4X,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,673-b85-a-1.net.uwa.edu.au,10.88.56.10,Switches and Hubs,Reachable,,Managed (Syncing...),COMPLIANT,10,Global/CRAWLEY/673/Basement 1,28:af:fd:cf:9d:80,ACCESS,17.9.3,12 days 3 hrs ,20 minutes ago,24:00:00,"FOC2524L7PV, FOC2524L7XA, FOC2524L7HN",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,682-171-a-1.net.uwa.edu.au,10.88.48.57,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/682/First Floor,b8:a3:77:77:26:80,ACCESS,17.9.3,9 days 5 hrs ,an hour ago,24:00:00,"FOC2542Y8T5, FOC2604YK7Y",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,682-271-a-1.net.uwa.edu.au,10.88.48.61,Switches and Hubs,Reachable,,Managed,NON_COMPLIANT,10,Global/CRAWLEY/682/Second Floor,80:24:8f:9e:d1:80,ACCESS,17.9.3,9 days 5 hrs ,4 minutes ago,24:00:00,"FOC2542YPBP, FOC2542YFY8, FOC2542YCGS",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X, C9300L-48P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,682-b71-a-1.net.uwa.edu.au,10.88.56.17,Switches and Hubs,Reachable,,Managed,COMPLIANT,8,Global/CRAWLEY/682/Basement 1,80:24:8f:82:c1:80,ACCESS,17.9.3,9 days 5 hrs ,2 hours ago,24:00:00,"FOC2542YDW7, FOC2542YL3B",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Enabled,,PASSED
Aggregation Switch,Unsupported,682-b71-g-1.net.uwa.edu.au,10.88.56.13,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/682/Basement 1,20:cf:ae:58:93:20,DISTRIBUTION,17.9.3,9 days 5 hrs ,13 hours ago,24:00:00,FDO25340DA1,Cisco Catalyst 9500 Series Switches,C9500-24Y4C,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Not Provisioned,,PASSED
Edge-Node,Unsupported,684-g15-a-1.net.uwa.edu.au,10.88.56.24,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/684/Ground Floor,3c:8b:7f:fb:6f:80,ACCESS,17.9.3,9 days 5 hrs ,2 minutes ago,24:00:00,"FOC2629YQJR, FOC2629YRZS",Cisco Catalyst 9300 Series Switches,"C9300L-48P-4X, C9300L-48P-4X",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Not Applied,2 months ago,,,,,,,Enabled,,PASSED
Edge-Node,Unsupported,685-g03a-a-1.net.uwa.edu.au,10.88.56.30,Switches and Hubs,Reachable,-10,Managed,COMPLIANT,10,Global/CRAWLEY/685/Ground Floor,44:88:16:0e:9f:80,ACCESS,17.9.3,3 hrs 46 mins ,2 hours ago,24:00:00,FOC2629YS36,Cisco Catalyst 9300 Series Switches,C9300L-48P-4X,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Not Applied,15 days ago,,,,,,,Enabled,N/A (Security vulnerabilities for the device could not be determined during the last scan. Please scan again to update security vulnerabilities information.),PASSED
Distribution-Router,Unsupported,fairway-dr-04.net.uwa.edu.au,10.88.8.139,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/658/Fairway DP,40:f0:78:aa:4c:00,DISTRIBUTION,17.9.3,11 days 21 hrs ,4 hours ago,24:00:00,"FDO25350BYJ, FDO24440BZZ",Cisco Catalyst 9500 Series Switches,"C9500-48Y4C, C9500-48Y4C",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,15 days ago,,,,,,,Not Provisioned,,PASSED
Border-Router,Unsupported,physics-br-02.net.uwa.edu.au,10.88.0.1,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/245/Physics DC,74:ad:98:79:f7:60,BORDER ROUTER,17.9.3,5 days 1 hr ,13 hours ago,24:00:00,FDO25260674,Cisco Catalyst 9500 Series Switches,C9500-32QC,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,4 months ago,,,,,,,Not Provisioned,,PASSED
Core-Router,Unsupported,physics-cr-02.net.uwa.edu.au,10.88.8.129,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/245/Physics DC,f0:4a:02:20:a6:60,CORE,17.9.3,5 days 1 hr ,13 hours ago,24:00:00,FDO25210KX4,Cisco Catalyst 9500 Series Switches,C9500-32QC,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,10 months ago,,,,,,,Not Provisioned,,PASSED
Distribution-Router,Unsupported,physics-dr-04.net.uwa.edu.au,10.88.8.135,Switches and Hubs,Reachable,,Managed,COMPLIANT,8,Global/CRAWLEY/245/Physics DC,20:cf:ae:83:c5:40,DISTRIBUTION,17.9.3,536 days 55 mins ,13 hours ago,24:00:00,"FDO253418ZM, FDO25350BX8",Cisco Catalyst 9500 Series Switches,"C9500-48Y4C, C9500-48Y4C",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,7 days ago,,,,,,,Not Provisioned,,PASSED
Distribution-Router,Unsupported,qe2-dr-04.net.uwa.edu.au,10.88.8.141,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/502/QE2 DP,20:cf:ae:83:c5:e0,DISTRIBUTION,17.9.3,11 days 21 hrs ,13 hours ago,24:00:00,"FDO253418ZQ, FDO24440501",Cisco Catalyst 9500 Series Switches,"C9500-48Y4C, C9500-48Y4C",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,3 months ago,,,,,,,Not Provisioned,,PASSED
Border-Router,Unsupported,reid-br-02.net.uwa.edu.au,10.88.0.2,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/139/Reid DC,f0:4a:02:0b:94:a0,BORDER ROUTER,17.9.3,5 days 1 hr ,13 hours ago,24:00:00,FDO25210KXE,Cisco Catalyst 9500 Series Switches,C9500-32QC,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,4 months ago,,,,,,,Not Provisioned,,PASSED
Core-Router,Unsupported,reid-cr-02.net.uwa.edu.au,10.88.8.130,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/139/Reid DC,74:ad:98:79:f9:e0,CORE,17.9.3,5 days 2 hrs ,13 hours ago,24:00:00,FDO2526068T,Cisco Catalyst 9500 Series Switches,C9500-32QC,Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,10 months ago,,,,,,,Not Provisioned,,PASSED
Distribution-Router,Unsupported,science-dr-04.net.uwa.edu.au,10.88.8.137,Switches and Hubs,Reachable,,Managed,COMPLIANT,10,Global/CRAWLEY/446/First Floor,20:cf:ae:83:c4:a0,DISTRIBUTION,17.9.3,450 days 4 hrs ,13 hours ago,24:00:00,"FDO253418YZ, FDO24440BT7",Cisco Catalyst 9500 Series Switches,"C9500-48Y4C, C9500-48Y4C",Supported,cat9k_iosxe.17.09.03.SPA.bin,Device Uptodate,UPTODATE,Success,Success,Success,15 days ago,,,,,,,Not Provisioned,,PASSED